name,category,price,quantity
UNODISTEMPER 20KG,Paint,919,50
UNODISTEMPER 10KG,Paint,495,50
UNODISTEMPER 5KG,Paint,269,50
UNODISTEMPER 2KG,Paint,112.5,50

ASIAN WALL PUTTY 40KG,Paint,874,50
ASIAN WALL PUTTY 30KG,Paint,655,50
ASIAN WALL PUTTY 20KG,Paint,536,50
ASIAN WALL PUTTY 5KG,Paint,143.5,50
ASIAN WALL PUTTY 1KG,Paint,31,50

NEO BHARAT INTER 20KG,Paint,900,50
NEO BHARAT INTER 10KG,Paint,485,50
NEO BHARAT INTER 5KG,Paint,264,50
NEO BHARAT INTER 2KG,Paint,110,50

NEO BHARAT EXTERIOR 20KG,Paint,1200,50
NEO BHARAT EXTERIOR 10KG,Paint,625,50
NEO BHARAT EXTERIOR 5KG,Paint,325,50
NEO BHARAT EXTERIOR 2KG,Paint,140,50

TRACTOR SPARC 20L,Paint,1795,50
TRACTOR SPARC 10L,Paint,935,50
TRACTOR SPARC 4L,Paint,399,50
TRACTOR SPARC 1L,Paint,106,50

TRACTOR EMULSION 20L,Paint,2517,50
TRACTOR EMULSION 10L,Paint,1309,50
TRACTOR EMULSION 4L,Paint,556,50
TRACTOR EMULSION 1L,Paint,147,50

TRACTORSHYNE 20L,Paint,3151,50
TRACTORSHYNE 10L,Paint,1643,50
TRACTORSHYNE 4L,Paint,694,50
TRACTORSHYNE 1L,Paint,181,50

PREMIUM 20L,Paint,5155,50
PREMIUM 10L,Paint,2645,50
PREMIUM 4L,Paint,1078,50
PREMIUM 1L,Paint,277,50

PREMIUMSHYNE 20L,Paint,5667,50
PREMIUMSHYNE 10L,Paint,2931,50
PREMIUMSHYNE 4L,Paint,1220,50
PREMIUMSHYNE 1L,Paint,308,50

ROYAL 20L,Paint,9390,50
ROYAL 10L,Paint,4740,50
ROYAL 4L,Paint,1902,50
ROYAL 1L,Paint,484,50

ROYALSHYNE 20L,Paint,10147,50
ROYALSHYNE 10L,Paint,5119,50
ROYALSHYNE 4L,Paint,2060,50
ROYALSHYNE 1L,Paint,522,50

PLAY 1L,Paint,658,50
PLAY 200ML,Paint,134,50

FLOORGUARD 20L,Paint,6360,50
FLOORGUARD 4L,Paint,1296,50
FLOORGUARD 1L,Paint,330,50

TILEGUARD 20L,Paint,4630,50
TILEGUARD 10L,Paint,2320,50
TILEGUARD 4L,Paint,951,50
TILEGUARD 1L,Paint,239,50

ACE SPARC 20L,Paint,2160,50
ACE SPARC 10L,Paint,1200,50
ACE SPARC 4L,Paint,510,50
ACE SPARC 1L,Paint,134,50

ACE EMULSION 20L,Paint,3009,50
ACE EMULSION 10L,Paint,1581,50
ACE EMULSION 4L,Paint,658,50
ACE EMULSION 1L,Paint,172,50

ACESHYNE 20L,Paint,3329,50
ACESHYNE 10L,Paint,1741,50
ACESHYNE 4L,Paint,722,50
ACESHYNE 1L,Paint,188,50

APEX 20L,Paint,5010,50
APEX 10L,Paint,2597,50
APEX 4L,Paint,1078,50
APEX 1L,Paint,279,50

APEXSHYNE 20L,Paint,5030,50
APEXSHYNE 10L,Paint,2607,50
APEXSHYNE 4L,Paint,1082,50
APEXSHYNE 1L,Paint,280,50

ULTIMA 20L,Paint,7849,50
ULTIMA 10L,Paint,4020,50
ULTIMA 4L,Paint,1642,50
ULTIMA 1L,Paint,417,50

GLOSS ENAMEL 20L,Paint,4203,50
GLOSS ENAMEL 10L,Paint,2145,50
GLOSS ENAMEL 4L,Paint,885,50
GLOSS ENAMEL 1L,Paint,228,50

SATIN ENAMEL 20L,Paint,5081,50
SATIN ENAMEL 10L,Paint,2617,50
SATIN ENAMEL 4L,Paint,1063,50
SATIN ENAMEL 1L,Paint,274,50

RED OXIDE PRIMER 20L,Paint,3299,50
RED OXIDE PRIMER 10L,Paint,1700,50
RED OXIDE PRIMER 4L,Paint,701,50
RED OXIDE PRIMER 1L,Paint,183,50

YELLOW PRIMER 20L,Paint,3833,50
YELLOW PRIMER 10L,Paint,815,50
YELLOW PRIMER 4L,Paint,210,50
YELLOW PRIMER 1L,Paint,111.5,50

WOOD PRIMER 20L,Paint,3586,50
WOOD PRIMER 10L,Paint,1842,50
WOOD PRIMER 4L,Paint,755,50
WOOD PRIMER 1L,Paint,196,50

SMARTCARE DAMPPROOF 20L,Paint,4790,50
SMARTCARE DAMPPROOF 10L,Paint,2440,50
SMARTCARE DAMPPROOF 4L,Paint,1010,50
SMARTCARE DAMPPROOF 1L,Paint,266,50

CRACKSEAL 5KG,Paint,1361,50
CRACKSEAL 900ML,Paint,258,50
CRACKSEAL 360G,Paint,119,50

DAMBLOCK 15KG,Paint,1492,50
DAMBLOCK 3KG,Paint,363,50
